id,timestamp,version,changeset,user,uid,tags,object_type,member_osmid,member_role,osmid,name,type,route,power,voltage,substation,line,circuits,cables,wires,operator,operator:wikidata,location,note,wikidata
4848272,2015-05-19T18:53:49Z,3,31292467,LLAQWA,77114,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341395414,line,relation/4848272,,route,power,,132000,,,,3,single,,,,,
4848272,2015-05-19T18:53:49Z,3,31292467,LLAQWA,77114,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/290486331,sub_station,relation/4848272,,route,power,,132000,,,,3,single,,,,,
4848272,2015-05-19T18:53:49Z,3,31292467,LLAQWA,77114,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/340753709,sub_station,relation/4848272,,route,power,,132000,,,,3,single,,,,,
4848273,2015-05-02T14:13:04Z,4,30721700,bahnpirat,13203,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'to': 'Bharatpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/290486331,sub_station,relation/4848273,,route,power,,132000,,,,3,single,,,,,
4848273,2015-05-02T14:13:04Z,4,30721700,bahnpirat,13203,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'to': 'Bharatpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342306174,line,relation/4848273,,route,power,,132000,,,,3,single,,,,,
4848273,2015-05-02T14:13:04Z,4,30721700,bahnpirat,13203,"{'cables': '3', 'from': 'Marsyangdi', 'route': 'power', 'to': 'Bharatpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/327318711,sub_station,relation/4848273,,route,power,,132000,,,,3,single,,,,,
4848381,2015-04-29T15:39:50Z,2,30623213,bahnpirat,13203,"{'cables': '3', 'from': 'Bharatpur', 'route': 'power', 'to': 'Bardghat', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/327318724,line,relation/4848381,,route,power,,132000,,,,3,single,,,,,
4848381,2015-04-29T15:39:50Z,2,30623213,bahnpirat,13203,"{'cables': '3', 'from': 'Bharatpur', 'route': 'power', 'to': 'Bardghat', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/327318711,sub_station,relation/4848381,,route,power,,132000,,,,3,single,,,,,
4848382,2015-05-04T16:58:25Z,5,30784533,bahnpirat,13203,"{'cables': '3', 'from': 'Bharatpur', 'route': 'power', 'to': 'Damauli', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/327318723,line,relation/4848382,,route,power,,132000,,,,3,single,,,,,
4848382,2015-05-04T16:58:25Z,5,30784533,bahnpirat,13203,"{'cables': '3', 'from': 'Bharatpur', 'route': 'power', 'to': 'Damauli', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/327318711,sub_station,relation/4848382,,route,power,,132000,,,,3,single,,,,,
4848382,2015-05-04T16:58:25Z,5,30784533,bahnpirat,13203,"{'cables': '3', 'from': 'Bharatpur', 'route': 'power', 'to': 'Damauli', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341713559,sub_station,relation/4848382,,route,power,,132000,,,,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341464453,line,relation/4848934,,route,power,,66000,,,,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/275968711,sub_station,relation/4848934,,route,power,,66000,,,,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341464449,line,relation/4848934,,route,power,,66000,,,,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341409968,line,relation/4848934,,route,power,,66000,,,,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/309115152,line,relation/4848934,,route,power,,66000,,,,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/309114159,line,relation/4848934,,route,power,,66000,,,,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341470429,line,relation/4848934,,route,power,,66000,,,,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/341333942,line,relation/4848934,,route,power,,66000,,,,3,single,,,,,
4848934,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '66000', 'wires': 'single'}",relation,way/285259952,sub_station,relation/4848934,,route,power,,66000,,,,3,single,,,,,
4848935,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341464448,line,relation/4848935,,route,power,,132000,,,,3,single,,,,,
4848935,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341464450,line,relation/4848935,,route,power,,132000,,,,3,single,,,,,
4848935,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341409968,line,relation/4848935,,route,power,,132000,,,,3,single,,,,,
4848935,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/275968711,sub_station,relation/4848935,,route,power,,132000,,,,3,single,,,,,
4848935,2015-04-29T19:13:15Z,1,30632955,bahnpirat,13203,"{'cables': '3', 'route': 'power', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341587809,line,relation/4848935,,route,power,,132000,,,,3,single,,,,,
4851033,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820716,line,relation/4851033,,route,power,,132000,,,,3,single,,,,,
