id,timestamp,version,changeset,user,uid,tags,object_type,member_osmid,member_role,osmid,name,type,power,voltage,substation,line,circuits,cables,wires,operator,operator:wikidata,location,note,wikidata
4851035,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342598384,section,relation/4851035,,power,circuit,132000,,,1,3,single,,,,,
4851036,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820719,section,relation/4851036,,power,circuit,132000,,,1,3,single,,,,,
4851036,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341855905,section,relation/4851036,,power,circuit,132000,,,1,3,single,,,,,
4851036,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/306272062,sub_station,relation/4851036,,power,circuit,132000,,,1,3,single,,,,,
4851036,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820721,section,relation/4851036,,power,circuit,132000,,,1,3,single,,,,,
4851036,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341855906,sub_station,relation/4851036,,power,circuit,132000,,,1,3,single,,,,,
4853182,2015-05-01T11:37:21Z,4,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Bhotekoshi', 'route': 'power', 'to': 'Lamosangu', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342027062,section,relation/4853182,,power,circuit,132000,,,1,3,single,,,,,
4853182,2015-05-01T11:37:21Z,4,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Bhotekoshi', 'route': 'power', 'to': 'Lamosangu', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342031426,section,relation/4853182,,power,circuit,132000,,,1,3,single,,,,,
4853182,2015-05-01T11:37:21Z,4,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Bhotekoshi', 'route': 'power', 'to': 'Lamosangu', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/286445650,sub_station,relation/4853182,,power,circuit,132000,,,1,3,single,,,,,
4853182,2015-05-01T11:37:21Z,4,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Bhotekoshi', 'route': 'power', 'to': 'Lamosangu', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342027063,sub_station,relation/4853182,,power,circuit,132000,,,1,3,single,,,,,
